Paul's Alley -> The Stilts,,,,,,,,
"Look's can be deceiving and no where is that more apparent than in the Alley. You see bums, I see an army.",,,,,,,,
,,,,,,,,
Paul's Alley (5) -> The Stilts (5),,,,,,,,
"Looks can be deceiving and no where is that more apparent than in the Alley. You see bums, I see an army.",,,,,,,,
Skin,Banner,Spray,Head Piece,Spray,Skin,Legs Piece,-,
Testudines (Hoffman),Walker,Use your noodle,Navy Specs (Hoffman),Deep thoughts,Smartass (Desert Eagle),Ripstop (Walker),-,
50,150,15,50,15,30,50,-,360
,,,,,,,,
The Stilts (5) -> Fort Hope (5),,,,,,,,
"Suspicious, paranoid, sure, and that's why they're prepared for anything",,,,,,,,
Banner,Body Piece,Spray,Skin,Banner,Legs Piece,Skin,-,
Jim,8 Point (Jim),Round Here,Green Envy (M16),Nothing But Dust,Par 4 (Hoffman),Laminated (Ranch Rifle),-,
150,50,15,30,100,50,30,-,425
,,,,,,,,
Fort Hope (5) -> Paul's Alley (6),,,,,,,,
Rumor is Phillips is building his own little army up there. Got more weapons than they know what to do with.,,,,,,,,
Head Piece,Spray,Skin,Body Piece,Skin,Body Piece,Title,-,
Black Shades (Hoffman),Fall Fighter,Heirloom (Phoenix 350L),Ananas Sapiens (Hoffman),Cartel King (AK47),Hot Pink (Karlee),Master of Discipline,-,
50,15,30,50,30,50,10,-,235
,,,,,,,,
Paul's Alley (6),,,,,,,,
"Looks can be deceiving and no where is that more apparent than in the Alley. You see bums, I see an army.",,,,,,,,
Head Piece,Head Piece,Head Piece,Head Piece,Head Piece,Head Piece,Head Piece,Head Piece,
Total Apocalypse (Hoffman),Total Apocalypse (Doc),Total Apocalypse (Evangelo),Total Apocalypse (Jim),Total Apocalypse (Mom),Total Apocalypse (Karlee),Total Apocalypse (Walker),Total Apocalypse (Holly),
250,250,250,250,250,250,250,250,2000
